age_A,age_B,height_A,height_B,reach_A,reach_B,stance_A,stance_B,weight_A,weight_B,won_A,won_B,lost_A,lost_B,drawn_A,drawn_B,kos_A,kos_B,result,decision,judge1_A,judge1_B,judge2_A,judge2_B,judge3_A,judge3_B
28,27,174,170,178,183,orthodox,orthodox,129,130,23,23,2,7,1,0,16,16,win_B,SD,96,94,93,97,94,96
23,27,170,170,168,183,orthodox,orthodox,,,19,23,0,6,0,0,8,16,win_A,UD,100,90,97,93,97,93
26,27,170,168,183,173,orthodox,orthodox,,,23,15,5,3,0,2,16,11,win_B,KO,,,,,,
26,29,170,,183,,orthodox,orthodox,,125,22,28,5,15,0,2,15,8,win_A,TKO,,,,,,
22,26,168,170,163,183,southpaw,southpaw,,,16,22,0,4,0,0,10,15,win_A,UD,98,91,96,93,95,94
26,22,170,,183,,orthodox,orthodox,,,21,11,4,19,0,3,14,4,win_A,TKO,,,,,,
28,25,168,170,173,183,orthodox,orthodox,126,,19,21,3,3,0,0,10,14,win_A,UD,97,93,97,93,98,92
25,26,170,,183,,orthodox,orthodox,,130,20,29,3,11,0,0,14,13,win_A,UD,116,112,116,112,115,113
34,25,165,170,175,183,orthodox,orthodox,,,29,20,10,2,1,0,21,14,win_A,UD,116,112,116,112,117,111
31,25,168,170,174,183,orthodox,orthodox,,,21,19,10,2,0,0,12,13,win_B,TKO,,,,,,
24,,170,,183,,orthodox,orthodox,,,18,5,2,7,0,0,12,1,win_A,RTD,,,,,,
24,25,170,170,183,,orthodox,orthodox,126,,17,11,2,6,0,2,11,7,win_A,KO,,,,,,
21,23,168,170,170,183,southpaw,southpaw,127,128,11,17,1,1,0,0,2,11,win_A,UD,59,55,59,56,59,56
27,23,,170,,183,southpaw,southpaw,,,21,16,11,1,2,0,7,10,win_B,TKO,,,,,,
23,32,170,,183,,orthodox,orthodox,,127,15,14,1,12,0,2,9,11,win_A,TKO,,,,,,
23,21,170,,183,,orthodox,orthodox,,,14,4,1,8,0,4,9,2,win_A,UD,78,74,80,72,79,74
22,26,170,168,183,,orthodox,orthodox,,,14,13,0,2,0,0,9,9,win_B,SD,94,96,94,96,96,94
22,32,170,,183,,orthodox,orthodox,131,135,13,6,0,15,0,1,8,2,win_A,TKO,,,,,,
21,26,170,165,183,,orthodox,orthodox,,124,12,11,0,13,0,0,7,5,win_A,KO,,,,,,
21,25,170,165,183,,orthodox,orthodox,,,11,11,0,12,0,0,6,5,win_A,TKO,,,,,,
21,24,170,,183,,orthodox,orthodox,,,10,3,0,2,0,3,6,1,win_A,UD,59,56,59,57,58,56
21,27,170,166,183,,orthodox,orthodox,,,9,8,0,5,0,2,5,5,win_A,TKO,,,,,,
21,25,170,168,183,,orthodox,orthodox,,122,8,9,0,1,0,0,5,8,win_A,MD,96,94,95,94,94,94
37,21,,170,,183,orthodox,orthodox,123,,22,7,11,0,2,0,10,5,win_B,UD,75,77,75,77,76,77
20,26,170,,183,,orthodox,orthodox,,,6,5,0,5,0,1,5,1,win_A,UD,59,54,58,55,57,56
20,26,170,,183,,orthodox,orthodox,118,118,5,5,0,4,0,1,5,1,win_A,UD,58,56,59,55,58,56
19,23,170,,183,,orthodox,orthodox,,,4,0,0,2,0,0,4,0,win_A,KO,,,,,,
19,,170,,183,,orthodox,orthodox,,,3,1,0,3,0,0,3,1,win_A,KO,,,,,,
19,26,170,,183,,orthodox,orthodox,118,117,2,0,0,1,0,0,2,0,win_A,KO,,,,,,
19,23,170,,183,,orthodox,orthodox,,,1,0,0,0,0,0,1,0,win_A,KO,,,,,,
19,,170,,183,,orthodox,orthodox,115,115,0,0,0,0,0,0,0,0,win_A,KO,,,,,,
30,22,175,,176,,southpaw,southpaw,,,22,0,5,2,2,0,14,0,win_A,TKO,,,,,,
30,33,175,161,176,163,southpaw,southpaw,122,,21,50,5,2,2,0,13,31,win_A,KO,,,,,,
29,37,175,168,176,,southpaw,southpaw,,,20,34,5,13,2,3,12,18,win_A,TKO,,,,,,
27,28,167,175,174,176,orthodox,orthodox,,121,21,20,0,4,0,2,21,12,win_A,TKO,100,86,100,86,100,86
28,26,175,,176,,southpaw,southpaw,,,19,7,4,2,2,0,11,2,win_A,KO,,,,,,
27,29,175,,176,,southpaw,southpaw,122,,18,35,4,7,2,1,11,21,win_A,UD,119,108,119,108,118,109
27,21,175,165,176,,southpaw,southpaw,122,,17,16,4,2,2,1,10,6,win_A,KO,,,,,,
27,31,175,176,176,,southpaw,southpaw,,,16,17,4,3,2,2,9,9,win_A,TKO,,,,,,
26,20,175,165,176,,southpaw,southpaw,122,122,15,10,4,2,2,0,8,4,win_A,KO,,,,,,
26,24,175,168,176,,southpaw,southpaw,122,122,14,13,4,5,2,4,7,7,win_A,TKO,,,,,,
25,27,175,177,176,,southpaw,southpaw,122,,13,14,4,2,2,4,6,6,win_A,TKO,,,,,,
25,25,175,167,176,,southpaw,southpaw,122,122,11,8,4,8,2,0,5,6,win_A,UD,,,,,,
24,31,175,168,176,,southpaw,southpaw,122,,10,20,4,3,2,3,5,10,win_A,UD,,,,,,
27,24,170,175,,176,orthodox,orthodox,,,19,10,5,3,1,2,8,5,win_A,UD,,,,,,
20,24,170,175,,176,orthodox,orthodox,,122,10,10,0,3,0,1,3,5,draw,SD,,,,,,
23,28,175,169,176,,southpaw,southpaw,122,122,9,9,3,3,1,2,4,1,win_A,TKO,,,,,,
23,25,175,167,176,,southpaw,southpaw,,,8,6,3,4,1,4,3,0,win_A,TKO,,,,,,
23,24,175,174,176,,southpaw,southpaw,126,,7,8,3,7,1,1,3,5,win_A,UD,,,,,,
22,21,175,,176,,southpaw,southpaw,122,122,6,6,3,1,1,2,3,4,win_A,UD,,,,,,
28,22,172,175,171,176,orthodox,orthodox,,,12,6,5,2,0,1,3,3,win_A,UD,,,,,,
22,22,175,170,176,,southpaw,southpaw,,121,5,5,2,1,1,1,2,3,win_A,TKO,,,,,,
21,26,175,,176,,southpaw,southpaw,,,4,4,2,2,1,0,2,0,win_A,UD,,,,,,
21,23,175,172,176,,southpaw,southpaw,122,,3,2,2,3,1,3,2,0,win_A,UD,,,,,,
18,20,,175,,176,orthodox,orthodox,122,,3,3,1,1,1,1,0,2,win_A,UD,,,,,,
27,20,164,175,,176,,,118,118,3,3,1,1,1,0,1,2,draw,PTS,,,,,,
23,20,167,175,,176,southpaw,southpaw,,,3,3,1,0,1,0,1,2,win_A,MD,,,,,,
19,20,175,162,176,,southpaw,southpaw,118,117,2,4,0,1,0,0,2,3,win_A,UD,,,,,,
19,25,175,,176,,southpaw,southpaw,118,118,1,1,0,0,0,0,1,1,win_A,KO,,,,,,
19,21,175,172,176,,southpaw,southpaw,121,122,0,2,0,1,0,0,0,1,win_A,KO,,,,,,
31,27,175,178,175,185,orthodox,orthodox,148,147,19,24,3,2,0,0,9,16,win_A,UD,94,91,93,92,93,92
30,33,175,170,175,170,orthodox,orthodox,,,18,17,3,7,0,4,8,9,win_A,TKO,,,,,,
30,31,175,175,175,178,orthodox,orthodox,,,17,17,3,2,0,1,8,13,win_A,SD,99,90,94,95,97,94
27,30,185,175,183,175,southpaw,southpaw,,147,14,16,0,3,0,0,13,7,win_B,TKO,,,,,,
28,30,188,175,178,175,orthodox,orthodox,,146,20,15,0,3,0,0,9,7,win_B,UD,91,99,92,98,94,96
23,27,179,175,188,175,orthodox,orthodox,140,,13,15,0,2,0,0,12,7,win_A,UD,78,74,78,74,79,73
25,27,173,175,178,175,southpaw,southpaw,140,140,9,15,0,1,1,0,3,7,win_A,SD,93,96,95,94,97,92
27,29,175,,175,,orthodox,orthodox,,,14,11,1,2,0,1,7,5,win_A,UD,98,91,98,91,98,90
26,32,175,170,175,170,orthodox,orthodox,144,144,13,15,1,7,0,0,6,6,win_A,KO,,,,,,
26,36,175,178,175,178,orthodox,orthodox,,,12,35,1,14,0,3,6,24,win_A,UD,97,93,98,92,98,92
26,28,175,178,175,191,orthodox,orthodox,143,138,11,7,1,15,0,0,5,5,win_A,KO,,,,,,
29,25,175,175,,175,orthodox,orthodox,142,140,11,11,0,0,0,0,8,5,win_A,SD,76,75,76,75,75,76
25,31,175,173,175,,orthodox,orthodox,,142,10,10,0,4,0,0,5,4,win_A,UD,80,71,79,72,79,72
25,29,175,,175,,orthodox,orthodox,,,9,6,0,5,0,1,4,2,win_A,TKO,,,,,,
25,22,175,,175,,orthodox,orthodox,,145,8,6,0,4,0,0,4,3,win_A,UD,59,55,59,55,58,56
26,24,170,175,180,175,southpaw,southpaw,144,,11,7,3,0,1,0,6,4,win_B,UD,53,60,54,59,55,59
24,22,175,183,175,196,orthodox,orthodox,147,147,6,6,0,7,0,1,3,6,win_A,TKO,,,,,,
24,34,175,,175,,orthodox,orthodox,145,144,5,3,0,3,0,3,3,3,win_A,UD,60,54,60,54,60,54
24,26,175,,175,,orthodox,orthodox,147,146,4,7,0,13,0,0,3,3,win_A,UD,40,36,40,36,40,36
24,38,175,,175,,orthodox,orthodox,149,150,3,7,0,22,0,1,2,1,win_A,TKO,,,,,,
24,26,175,,175,,orthodox,orthodox,147,,2,2,0,1,0,0,1,2,win_A,TKO,10,9,10,9,10,9
24,26,175,,175,,orthodox,orthodox,147,149,1,1,0,0,0,0,0,1,win_A,KO,,,,,,
23,20,175,165,175,,orthodox,orthodox,146,153,0,0,0,0,0,0,0,0,win_A,UD,40,36,40,36,40,36
,37,,173,,176,southpaw,southpaw,,126,24,49,1,15,1,1,11,33,win_A,RTD,,,,,,
,23,,,,,southpaw,southpaw,,122,24,18,0,0,1,2,11,7,win_B,UD,93,97,93,97,91,99
25,,174,,,,southpaw,southpaw,123,,21,23,4,0,1,1,9,11,win_B,UD,93,96,93,98,91,99
,24,,,,,southpaw,southpaw,121,,22,10,0,5,1,0,11,4,win_A,UD,,,,,,
,24,,173,,180,southpaw,southpaw,123,123,21,22,0,9,1,1,11,15,win_A,UD,98,92,98,92,97,93
,22,,,,,southpaw,southpaw,122,,20,19,0,3,1,0,11,18,win_A,UD,79,73,79,73,78,74
,29,,166,,168,southpaw,southpaw,122,122,19,27,0,5,1,0,10,20,win_A,KO,,,,,,
,23,,168,,177,southpaw,southpaw,126,126,18,19,0,5,1,0,9,4,win_A,RTD,,,,,,
,25,,,,,southpaw,southpaw,122,122,17,20,0,6,1,0,9,11,win_A,UD,77,74,76,75,79,71
,26,,172,,,southpaw,southpaw,,,16,20,0,6,1,1,8,16,win_A,TKO,,,,,,
,,,,,,southpaw,southpaw,,,15,8,0,6,1,0,7,3,win_A,TKO,,,,,,
,,,,,,southpaw,southpaw,125,122,14,9,0,8,1,5,7,3,win_A,UD,99,91,100,90,100,90
,28,,168,,175,southpaw,southpaw,,,13,14,0,4,1,1,7,9,win_A,UD,99,91,99,91,98,91
,,,,,,southpaw,southpaw,,,12,0,0,0,1,0,6,0,win_A,KO,30,27,30,27,30,27
,,,,,,southpaw,southpaw,,,11,5,0,3,1,0,5,5,win_A,TKO,,,,,,
,,,,,,southpaw,southpaw,,,10,4,0,3,1,0,4,1,win_A,TKO,,,,,,
,17,,,,,southpaw,southpaw,,,9,5,0,0,1,1,3,5,win_A,RTD,,,,,,
,21,,,,,southpaw,southpaw,,,8,6,0,3,1,0,3,2,win_A,UD,40,35,40,35,39,36
,25,,165,,,southpaw,southpaw,,,7,9,0,13,1,0,2,5,win_A,TKO,,,,,,
,,,,,,southpaw,southpaw,,123,6,4,0,2,1,1,1,0,win_A,TKO,,,,,,
,,,,,,southpaw,southpaw,127,126,5,0,0,0,1,0,1,0,win_A,UD,39,37,39,37,39,37
,22,,165,,,southpaw,southpaw,,,4,3,0,1,1,0,1,1,win_A,SD,38,37,38,37,37,38
,,,,,,southpaw,southpaw,131,,3,0,0,1,1,0,1,0,win_A,UD,40,36,40,36,40,36
,,,,,,southpaw,southpaw,122,119,3,5,0,2,0,1,1,1,draw,PTS,38,38,38,38,38,38
,19,,168,,183,southpaw,southpaw,127,,2,6,0,0,0,0,1,4,win_A,SD,,,,,,
,,,,,,southpaw,southpaw,131,,1,0,0,3,0,0,1,0,win_A,UD,,,,,,
,,,,,,,,,,0,0,1,0,0,0,0,0,win_B,TKO,,,,,,
28,32,185,172,173,,orthodox,orthodox,153,,25,22,0,2,0,0,10,11,win_A,UD,98,92,97,93,96,94
31,29,172,185,,187,orthodox,orthodox,,,22,23,1,0,0,0,11,16,win_B,SD,115,114,112,116,112,116
30,31,172,178,,,orthodox,orthodox,153,,21,31,1,1,0,1,10,22,win_A,RTD,89,82,88,83,90,81
30,30,172,173,,174,orthodox,orthodox,,,20,22,1,0,0,1,10,7,win_A,UD,117,111,119,109,116,112
29,33,172,178,,,orthodox,orthodox,153,,19,21,1,1,0,1,10,8,win_A,UD,115,112,116,111,118,110
29,29,172,,,,orthodox,orthodox,154,,18,13,1,3,0,2,10,1,win_A,UD,116,113,119,109,118,110
28,32,172,175,,175,orthodox,orthodox,154,,17,10,1,0,0,1,10,5,win_A,UD,115,112,115,113,117,110
28,26,172,179,,,orthodox,orthodox,154,,16,19,1,4,0,2,10,7,win_A,UD,117,111,117,111,117,111
28,27,172,175,,,orthodox,orthodox,154,153,15,11,1,3,0,0,10,0,win_A,UD,116,111,118,109,116,111
28,26,172,180,,,orthodox,orthodox,,153,14,18,1,1,0,0,10,7,win_A,UD,115,113,115,113,117,112
27,25,172,180,,,orthodox,orthodox,154,153,14,17,0,1,0,0,10,7,win_B,SD,115,113,113,115,112,116
27,26,172,,,,orthodox,orthodox,,,13,17,0,4,0,3,9,6,win_A,TKO,,,,,,
27,31,172,180,,,orthodox,orthodox,,,12,24,0,1,0,0,8,14,win_A,TKO,38,38,39,37,39,37
26,31,172,,,,orthodox,orthodox,,154,11,13,0,6,0,0,7,3,win_A,TKO,,,,,,
26,28,172,176,,,orthodox,orthodox,,,10,15,0,5,0,4,6,3,win_A,TKO,,,,,,
26,34,172,172,,,orthodox,orthodox,,,9,19,0,5,0,2,5,10,win_A,KO,,,,,,
25,34,172,175,,,orthodox,orthodox,154,,8,9,0,14,0,1,5,2,win_A,UD,100,90,100,90,99,91
25,22,172,,,,orthodox,orthodox,154,153,7,15,0,13,0,3,4,5,win_A,KO,,,,,,
25,28,172,177,,180,orthodox,orthodox,,,6,6,0,1,0,0,4,3,win_A,UD,,,78,74,79,72
24,25,172,171,,,orthodox,orthodox,,,5,13,0,4,0,1,3,1,win_A,TKO,,,,,,
24,21,172,,,176,orthodox,orthodox,155,155,4,12,0,12,0,2,3,3,win_A,UD,,,60,54,60,54
24,36,172,168,,,orthodox,orthodox,,,3,15,0,8,0,0,2,5,win_A,TKO,,,,,,
24,40,172,,,,orthodox,orthodox,154,,2,8,0,22,0,2,1,2,win_A,TKO,,,,,,
24,23,172,174,,,orthodox,orthodox,,,1,2,0,0,0,0,0,1,win_A,TKO,,,,,,
24,32,172,181,,,orthodox,orthodox,154,156,0,6,0,2,0,0,0,3,win_A,UD,,,40,36,40,36
29,33,180,175,185,,orthodox,orthodox,,,19,18,1,10,1,1,16,8,win_A,KO,,,,,,
23,29,185,180,185,185,orthodox,orthodox,,155,17,18,1,1,0,1,9,15,win_B,RTD,,,,,,
28,22,180,185,185,185,orthodox,orthodox,,159,17,12,1,0,1,0,14,9,win_A,TKO,,,,,,
28,32,180,168,185,173,orthodox,orthodox,160,167,16,17,1,19,1,1,13,13,win_A,TKO,,,,,,
28,26,180,,185,,orthodox,orthodox,153,152,15,15,1,0,1,1,12,11,win_A,KO,,,,,,
28,34,180,165,185,178,orthodox,orthodox,,,14,33,1,34,1,1,11,26,win_A,TKO,,,,,,
28,35,180,,185,,orthodox,orthodox,154,154,13,3,1,21,1,2,10,3,win_A,KO,,,,,,
30,28,179,180,,185,orthodox,orthodox,152,,26,13,3,0,1,1,19,10,win_A,SD,96,93,96,93,92,97
28,24,180,,185,,orthodox,orthodox,,,12,2,0,5,1,0,10,0,win_A,UD,60,54,60,54,60,54
27,28,180,,185,,orthodox,orthodox,,,11,14,0,24,1,1,9,5,win_A,KO,,,,,,
27,32,180,172,185,,orthodox,orthodox,158,157,10,11,0,23,1,0,8,9,win_A,TKO,,,,,,
27,24,180,180,185,180,orthodox,orthodox,,,9,13,0,4,1,1,8,11,win_A,UD,78,73,78,73,77,74
27,25,180,180,185,,orthodox,orthodox,,154,9,11,0,3,0,1,8,7,draw,SD,77,75,76,76,74,78
27,27,180,180,185,,orthodox,orthodox,,,8,7,0,12,0,1,7,6,win_A,TKO,,,,,,
27,21,180,178,185,178,orthodox,orthodox,,,7,9,0,3,0,0,6,1,win_A,TKO,,,,,,
27,32,180,170,185,183,orthodox,orthodox,158,159,6,10,0,14,0,1,5,9,win_A,TKO,,,,,,
27,28,180,,185,,orthodox,orthodox,157,154,5,1,0,10,0,0,4,0,win_A,KO,,,,,,
27,35,180,183,185,,orthodox,orthodox,,,4,4,0,9,0,2,4,0,win_A,UD,59,55,58,56,59,55
27,32,180,,185,,orthodox,orthodox,158,156,3,0,0,0,0,0,3,0,win_A,KO,,,,,,
27,28,180,170,185,,orthodox,orthodox,,,2,2,0,0,0,0,2,2,win_A,KO,,,,,,
24,26,,180,,185,,,,,6,1,0,0,0,0,2,1,win_B,TKO,,,,,,
26,26,180,,185,,orthodox,orthodox,,,0,0,0,1,0,0,0,0,win_A,KO,,,,,,
29,19,170,171,173,,orthodox,orthodox,,,36,11,3,2,0,0,24,7,win_A,KO,10,9,10,9,10,9
28,33,170,,173,,orthodox,orthodox,,,35,24,3,4,0,2,24,9,win_A,UD,97,92,96,93,97,92
28,31,170,171,173,,orthodox,orthodox,,,34,29,3,6,0,1,24,9,win_A,TD,88,84,87,84,88,83
27,,170,174,173,,orthodox,orthodox,,,33,40,3,2,0,1,24,26,win_A,UD,115,112,117,110,114,113
27,25,170,170,173,,orthodox,orthodox,,135,32,17,3,6,0,3,23,8,win_A,KO,,,,,,
26,32,170,,173,,orthodox,orthodox,134,134,31,21,3,3,0,1,23,14,win_A,SD,113,114,117,110,116,111
26,27,170,,173,,orthodox,orthodox,,,30,25,3,1,0,2,23,8,win_A,UD,117,111,115,113,116,112
25,41,170,168,173,165,orthodox,orthodox,,,29,36,2,5,0,0,23,24,win_A,UD,119,110,117,111,118,110
24,26,170,170,173,,orthodox,orthodox,,,28,22,2,0,0,0,22,21,win_A,KO,,,,,,
24,36,170,169,173,168,orthodox,orthodox,,123,27,27,2,8,0,1,21,14,win_A,TKO,,,,,,
31,23,169,170,175,173,orthodox,orthodox,126,,44,27,0,1,2,0,22,21,win_A,UD,116,112,116,112,117,111
23,30,170,168,173,,orthodox,orthodox,,,26,16,1,6,0,1,20,6,win_A,TKO,,,,,,
23,21,170,168,173,,orthodox,orthodox,,,25,5,1,2,0,3,19,0,win_A,KO,,,,,,
33,22,180,170,187,173,orthodox,orthodox,,,33,25,2,0,0,0,23,19,win_A,UD,119,108,119,108,120,107
22,22,170,165,173,,orthodox,orthodox,,126,24,15,0,3,0,0,18,5,win_A,RTD,,,,,,
22,23,170,168,173,170,orthodox,orthodox,,126,23,18,0,4,0,2,17,10,win_A,KO,,,,,,
21,24,170,,173,,orthodox,orthodox,,,22,3,0,13,0,0,16,2,win_A,TKO,,,,,,
21,25,170,164,173,170,orthodox,orthodox,125,126,21,24,0,4,0,1,16,16,win_A,MD,78,74,78,74,76,76
21,19,170,158,173,,orthodox,orthodox,,,20,14,0,7,0,0,15,3,win_A,TKO,,,,,,
20,20,170,171,173,,orthodox,orthodox,,,19,15,0,2,0,2,14,7,win_A,TKO,,,,,,
20,,170,,173,,orthodox,orthodox,,,18,3,0,3,0,1,13,3,win_A,TKO,,,,,,
20,,170,,173,,orthodox,orthodox,,,17,14,0,3,0,0,13,12,win_A,UD,,,,,,
20,28,170,,173,,orthodox,orthodox,,,16,16,0,4,0,0,12,4,win_A,TKO,,,,,,
20,22,170,,173,,orthodox,orthodox,,,15,3,0,0,0,0,11,1,win_A,TKO,,,,,,
19,22,170,170,173,,orthodox,orthodox,,,14,16,0,5,0,0,10,5,win_A,KO,,,,,,
19,25,170,163,173,,orthodox,orthodox,,,13,2,0,2,0,0,9,0,win_A,TKO,,,,,,
19,,170,170,173,206,orthodox,orthodox,,,12,7,0,11,0,0,9,0,win_A,UD,,,,,,
19,,170,,173,,orthodox,orthodox,,,11,11,0,2,0,0,9,9,win_A,UD,,,,,,
19,,170,,173,,orthodox,orthodox,,,10,0,0,0,0,0,9,0,win_A,PTS,,,,,,
19,,170,,173,,orthodox,orthodox,,,9,1,0,2,0,0,8,0,win_A,TKO,,,,,,
19,,170,,173,,orthodox,orthodox,124,,8,0,0,1,0,0,7,0,win_A,TKO,,,,,,
19,,170,,173,,orthodox,orthodox,,,7,2,0,3,0,2,6,2,win_A,TKO,,,,,,
19,,170,,173,,orthodox,orthodox,,,6,0,0,0,0,0,5,0,win_A,KO,,,,,,
18,,170,,173,,orthodox,orthodox,,,5,20,0,6,0,2,4,14,win_A,TKO,,,,,,
18,,170,,173,,orthodox,orthodox,,,4,4,0,1,0,1,3,3,win_A,TKO,,,,,,
18,26,170,164,173,193,orthodox,orthodox,,,3,5,0,3,0,1,2,1,win_A,TKO,,,,,,
18,,170,,173,,orthodox,orthodox,,,2,1,0,6,0,0,2,0,win_A,PTS,,,,,,
18,27,170,,173,,orthodox,orthodox,,,1,0,0,4,0,0,1,0,win_A,TKO,,,,,,
18,19,170,,173,,orthodox,orthodox,,,0,0,0,0,0,0,0,0,win_A,TKO,,,,,,
43,37,175,177,182,,orthodox,orthodox,,,44,29,14,21,0,0,18,6,win_A,TKO,20,16,20,16,10,16
30,42,175,175,171,182,orthodox,orthodox,159,159,8,44,0,13,0,0,6,18,win_A,TKO,,,,,,
25,41,179,175,189,182,,,161,,17,44,0,12,0,0,12,18,win_A,SD,95,94,93,96,97,92
40,36,175,180,182,189,orthodox,orthodox,160,,44,32,11,4,0,1,18,20,win_B,UD,111,116,109,115,109,116
35,40,181,175,185,182,orthodox,orthodox,,159,39,43,3,11,2,0,18,18,win_B,UD,110,118,110,118,111,117
40,31,175,183,182,185,orthodox,orthodox,,,42,33,11,6,0,0,17,19,win_A,TKO,80,71,80,71,80,71
38,31,175,183,182,191,orthodox,orthodox,,,41,31,11,4,0,0,17,23,win_A,UD,118,109,117,110,118,108
38,33,175,179,182,180,orthodox,orthodox,,,40,10,11,2,0,1,17,6,win_A,UD,117,114,118,110,119,109
38,37,175,183,182,,orthodox,orthodox,,,39,24,11,5,0,1,17,12,win_A,UD,116,112,118,110,117,111
36,23,175,,182,,orthodox,orthodox,,,38,15,11,2,0,1,16,8,win_A,KO,90,81,90,81,90,81
36,33,175,181,182,,orthodox,orthodox,,,37,16,11,5,0,1,15,6,win_A,TKO,100,87,99,88,100,87
35,26,175,176,182,174,orthodox,orthodox,,,36,10,11,3,0,3,14,2,win_A,TKO,60,54,60,54,60,54
35,31,175,166,182,,orthodox,orthodox,158,,35,11,11,6,0,0,13,10,win_A,TKO,60,53,60,53,60,53
33,34,180,175,178,182,orthodox,orthodox,,,31,35,3,10,0,0,23,13,win_A,UD,116,112,116,112,117,112
30,33,183,175,,182,orthodox,orthodox,165,168,17,34,2,10,0,0,9,13,win_B,UD,54,60,54,60,55,59
28,33,182,175,180,182,orthodox,orthodox,167,166,23,34,3,9,2,0,15,13,win_A,UD,77,75,78,74,78,74
33,26,175,188,182,193,orthodox,orthodox,,167,33,14,9,0,0,1,13,2,win_A,UD,50,44,49,45,48,46
31,33,180,175,178,182,orthodox,orthodox,,,27,33,3,8,0,0,21,13,win_A,KO,78,74,79,71,79,73
26,33,185,175,183,182,orthodox,orthodox,,,25,32,2,8,0,0,15,13,win_B,MD,94,95,94,95,95,95
32,29,175,175,182,,orthodox,orthodox,159,,31,18,8,7,0,0,12,14,win_A,TKO,50,45,50,45,50,45
34,32,179,175,183,182,southpaw,southpaw,159,,49,31,3,7,0,0,25,12,win_A,UD,115,113,117,110,115,112
31,32,175,180,182,203,orthodox,orthodox,160,159,30,23,7,7,0,0,12,18,win_A,UD,99,91,99,91,96,93
31,30,175,180,182,180,orthodox,orthodox,,,29,34,7,5,0,1,11,30,win_A,TKO,,,,,,
31,29,175,179,182,,orthodox,orthodox,,,28,25,7,2,0,0,10,11,win_A,KO,,,,,,
30,31,175,,182,,orthodox,orthodox,,,27,21,7,2,0,0,9,18,win_A,TKO,,,,,,
35,30,180,175,185,182,orthodox,orthodox,159,,32,26,2,7,0,0,14,9,win_B,UD,107,120,107,120,108,119
30,32,175,170,182,,orthodox,orthodox,,,25,30,7,4,0,0,8,26,win_A,TKO,,,,,,
30,,175,,182,,orthodox,orthodox,,,24,0,7,6,0,0,7,0,win_A,TKO,,,,,,
30,37,175,,182,,orthodox,orthodox,,,23,28,7,19,0,1,6,2,win_A,TKO,,,,,,
30,35,175,,182,,orthodox,orthodox,,,22,26,7,17,0,5,5,7,win_A,KO,,,,,,
30,34,175,170,182,,orthodox,orthodox,,,21,43,7,35,0,8,4,18,win_A,TKO,,,,,,
29,27,175,183,182,,orthodox,orthodox,,,20,20,7,4,0,0,4,13,win_A,UD,,,119,108,119,109
29,28,175,176,182,,orthodox,orthodox,,,19,14,7,2,0,3,4,6,win_A,SD,,,114,116,119,110
29,37,175,,182,,orthodox,orthodox,160,160,18,34,7,17,0,1,4,23,win_A,UD,,,,,,
29,29,175,178,182,178,orthodox,orthodox,,159,17,32,7,0,0,0,4,14,win_A,UD,,,,,,
29,31,175,179,182,180,orthodox,orthodox,,158,16,1,7,2,0,1,4,1,win_A,UD,,,,,,
28,23,175,182,182,180,orthodox,orthodox,,,15,10,7,0,0,0,4,7,win_A,MD,,,,,,
28,33,175,,182,,orthodox,orthodox,160,,14,47,7,12,0,0,4,21,win_A,UD,118,107,120,109,120,102
28,37,175,174,182,,orthodox,orthodox,,,13,19,7,37,0,4,4,11,win_A,PTS,,,40,36,,
28,23,175,174,182,,orthodox,orthodox,,,12,6,7,0,0,0,4,4,win_A,PTS,,,78,75,,
26,27,180,175,178,182,orthodox,orthodox,,,8,12,0,6,0,0,7,4,win_A,SD,116,114,115,113,113,115
27,31,175,175,182,,orthodox,orthodox,,,11,34,6,3,0,0,4,17,win_A,PTS,,,59,56,,
32,27,180,175,185,182,orthodox,orthodox,,,24,11,2,5,0,0,13,4,win_A,MD,114,114,116,112,116,113
29,26,180,175,188,182,orthodox,orthodox,,,29,11,0,4,0,0,27,4,win_A,PTS,,,117,114,,
26,34,175,178,182,183,orthodox,orthodox,,,10,32,4,7,0,0,3,26,win_A,TKO,,,,,,
23,26,175,175,180,182,orthodox,orthodox,,,25,10,0,3,1,0,21,3,win_A,UD,,,,,,
26,37,175,175,182,,orthodox,orthodox,167,,9,16,3,38,0,5,3,6,win_A,UD,,,,,,
26,30,175,,182,,orthodox,orthodox,,,8,8,3,1,0,1,2,7,win_A,TKO,,,,,,
28,25,181,175,180,182,orthodox,orthodox,,174,21,8,0,2,1,0,12,2,win_A,UD,,,,,,
25,25,175,,182,,orthodox,orthodox,,159,7,15,2,5,0,0,2,4,win_A,UD,,,,,,
25,28,175,,182,,orthodox,orthodox,,,6,19,2,10,0,1,1,19,win_A,TKO,,,,,,
24,29,175,177,182,177,orthodox,orthodox,,,5,5,2,2,0,0,1,3,win_A,UD,,,,,,
24,30,175,,182,,orthodox,orthodox,,,4,2,2,0,0,1,1,1,win_A,UD,,,,,,
24,29,175,178,182,180,orthodox,orthodox,164,168,3,15,2,4,0,1,1,6,win_A,UD,,,,,,
24,35,175,,182,,orthodox,orthodox,,,2,5,2,20,0,0,1,3,win_A,UD,,,,,,
23,24,175,175,175,182,orthodox,orthodox,,,7,2,1,1,1,0,6,1,win_A,SD,111,117,117,111,115,113
28,23,175,175,183,182,orthodox,orthodox,,,17,2,5,0,3,0,7,1,win_A,UD,120,109,120,109,119,113
