age_A,age_B,height_A,height_B,reach_A,reach_B,stance_A,stance_B,weight_A,weight_B,won_A,won_B,lost_A,lost_B,drawn_A,drawn_B,kos_A,kos_B,result,decision,judge1_A,judge1_B,judge2_A,judge2_B,judge3_A,judge3_B
22,20,,,,,orthodox,orthodox,146,146,9,3,0,1,2,1,4,3,win_A,UD,60,54,,57,,56
20,30,,,,,southpaw,southpaw,,,2,0,1,0,1,0,2,0,win_A,TKO,,,,,,
21,20,,,,,orthodox,orthodox,,139,3,2,0,0,0,1,0,2,win_A,TD,49,48,49,48,48,48
20,28,,169,,,southpaw,southpaw,,,2,2,0,1,0,2,2,2,draw,PTS,,,,,,
20,20,,,,,southpaw,southpaw,139,139,1,0,0,0,0,0,1,0,win_A,KO,,,,,,
20,29,,,,,southpaw,southpaw,,,0,1,0,7,0,1,0,0,win_A,KO,,,,,,
28,30,180,178,,188,southpaw,southpaw,160,160,24,21,0,2,0,0,12,6,win_A,UD,115,114,117,112,117,111
30,29,182,178,182,188,orthodox,orthodox,,,23,20,9,2,0,0,13,6,win_B,UD,110,118,111,117,112,116
29,27,178,185,188,,southpaw,southpaw,160,159,19,17,2,2,0,0,6,6,win_A,UD,96,92,95,93,99,89
33,28,179,178,178,188,orthodox,orthodox,160,159,32,19,0,1,0,0,29,6,win_A,TKO,50,43,50,43,49,44
28,33,178,180,188,185,southpaw,southpaw,160,160,18,23,1,8,0,0,6,14,win_A,UD,98,91,99,90,97,92
27,24,178,175,188,178,southpaw,southpaw,,158,17,14,1,0,0,0,6,9,win_A,UD,99,91,99,91,99,91
30,27,183,178,178,188,orthodox,orthodox,160,160,22,16,0,1,0,0,12,6,win_B,UD,74,78,73,79,73,79
27,34,178,175,188,,southpaw,southpaw,,160,15,18,1,4,0,1,6,6,win_A,UD,59,55,58,56,59,55
26,31,178,170,188,183,southpaw,southpaw,,,14,10,1,10,0,1,6,9,win_A,UD,,,,,,
26,36,178,,188,,southpaw,southpaw,161,165,13,3,1,35,0,0,5,3,win_A,RTD,,,,,,
26,34,178,170,188,178,southpaw,southpaw,164,164,12,19,1,18,0,3,4,12,win_A,TKO,,,,,,
26,30,178,188,188,198,southpaw,southpaw,159,161,11,15,1,8,0,0,4,10,win_A,UD,79,73,79,73,79,73
25,32,178,,188,,southpaw,southpaw,159,161,10,3,1,7,0,1,4,2,win_A,UD,60,53,60,53,60,53
31,24,171,178,184,188,orthodox,orthodox,157,159,17,10,17,0,3,0,7,4,win_A,SD,78,73,77,74,75,76
23,33,178,,188,,southpaw,southpaw,,,9,6,0,2,0,0,3,6,win_A,TKO,,,,,,
23,29,178,175,188,178,southpaw,southpaw,,,8,7,0,8,0,1,2,2,win_A,RTD,,,,,,
23,25,178,180,188,,southpaw,southpaw,,160,7,7,0,1,0,0,2,2,win_A,UD,60,54,60,54,60,54
22,29,178,,188,,southpaw,southpaw,159,160,6,2,0,0,0,1,2,1,win_A,UD,58,56,60,55,60,54
